time_frame,covid_included,ASB_included,correlation_method,edge_method,edge_param,n_nodes,n_edges,density,n_components,lcc_size,n_communities,modularity,mean_betweenness,mean_degree,mean_constraint,mean_eigenvector,edges_pre_filter,edges_post_filter,n_rows_used
2017-2020,FALSE,TRUE,pearson,threshold,0.7,13,10,0.128205128,7,5,2,0.42,0.003496503,0.128205128,0.949608786,0.425265102,78,10,6990225
2017-2020,FALSE,TRUE,pearson,knn,3,13,28,0.358974359,1,13,2,0.316326531,0.076923077,0.358974359,0.506252639,0.248787442,78,28,6990225
2017-2020,FALSE,TRUE,pearson,knn,4,13,36,0.461538462,1,13,2,0.246527778,0.058275058,0.461538462,0.431405754,0.264653288,78,36,6990225
2017-2020,FALSE,FALSE,cosine,threshold,0.5,12,46,0.696969697,2,11,2,0.017958412,0.013636364,0.696969697,0.384867109,0.295789635,66,46,6026729
2017-2020,FALSE,FALSE,cosine,threshold,0.7,12,16,0.242424242,3,10,3,0.310546875,0.081818182,0.242424242,0.714242484,0.258251361,66,16,6026729
2017-2020,FALSE,FALSE,cosine,knn,3,12,25,0.378787879,1,12,2,0.3,0.084848485,0.378787879,0.561184232,0.27100903,66,25,6026729
2017-2020,FALSE,FALSE,cosine,knn,4,12,33,0.5,1,12,2,0.257116621,0.062121212,0.5,0.453206552,0.276565003,66,33,6026729
2017-2020,FALSE,FALSE,spearman,threshold,0.5,12,32,0.484848485,1,12,2,0.201171875,0.057575758,0.484848485,0.48291915,0.267348914,66,32,6026729
2017-2020,FALSE,FALSE,spearman,threshold,0.7,12,3,0.045454545,10,3,1,0,0,0.045454545,1.124992324,0.577315293,66,3,6026729
2017-2020,FALSE,FALSE,spearman,knn,3,12,24,0.363636364,1,12,3,0.302083333,0.081818182,0.363636364,0.51229674,0.270624816,66,24,6026729
2017-2020,FALSE,FALSE,spearman,knn,4,12,30,0.454545455,1,12,2,0.266111111,0.060606061,0.454545455,0.467267548,0.279453728,66,30,6026729
2017-2020,FALSE,FALSE,pearson,threshold,0.5,12,36,0.545454545,2,11,2,0.073688272,0.03030303,0.545454545,0.436147188,0.287630649,66,36,6026729
2017-2020,FALSE,FALSE,pearson,threshold,0.7,12,7,0.106060606,7,4,2,0.489795918,0.003030303,0.106060606,1.007215783,0.480526069,66,7,6026729
2017-2020,FALSE,FALSE,pearson,knn,3,12,25,0.378787879,1,12,2,0.3672,0.086363636,0.378787879,0.573488141,0.277336728,66,25,6026729
2017-2020,FALSE,FALSE,pearson,knn,4,12,32,0.484848485,1,12,2,0.232421875,0.060606061,0.484848485,0.443916737,0.27958725,66,32,6026729
